Title,Content,Link,Date,Author
Chłopak europosłanki przywalił Donaldowi Tuskowi! Soczyste uderzenie. Awantura na całą Europę,Ale się porobiło! Wydawało się^ że po spotkaniu z Martą Lempart i ostatnich wystąpieniach publicznych Donald Tusk stał się dla polskiej lewicowo-liberalnej opozycji pewnym sojusznikiem. Jedna osoba jednak ma powody do tego^ by się wkurzyć na byłego premiera. Od lat walczący o prawa osób LGBT chłopak europosłanki Sylwii Spurek przywalił Donaldowi Tuskowi. To było soczyste uderzenie! Zrobiła się awantura na całą Europę! A wy co myślicie? Czy partner Sylwii Spurek miał prawo tak potraktować Tuska? Piszcie w komentarzach. Po zakończeniu negocjacji ws. budżetu UE i powiązania go z zasadą praworządności sukces ogłosili premier Mateusz Morawiecki i najważniejsi politycy PiS. Z kolei Zbigniew Ziobro i jego Solidarna Polska uważają^ że brak weta ze strony polskiego rządu był poważnym błędem (CZYTAJ O TYM TUTAJ). Okazuje się jednak^ że ustalenia unijnego szczytu ws. budżetu UE podzieliły także opozycję. Co ciekawe^ potwornie oberwało się Donaldowi Tuskowi^ który przecież obecnie formalnie jest tylko szefem Europejskiej Partii Ludowej^ czyli teoretycznie nie ma wpływu na podejmowane tak ważnych decyzji. W byłego premiera jednak ostro przywalił Marcin Anaszewicz^ chłopak europosłanki Sylwii Spurek^ który wspólnie z Robertem Biedroniem zakładał Wiosnę. "Kiedy Donald Tusk mówi: nikt za Was tego nie zrobi^ to znaczy - nie liczcie na zmiany^ bo dla nas kompromis był/jest najważniejszy... Wynik ustaleń wczorajszego szczytu to mega porażka. I najbliższe lata pokażą^ że ofiarami tego "sukcesu" są/będą kobiety i osoby LGBT+. Zakład?" - grzmiał partner Sylwii Spurek. CZYTAJ TEŻ: Tekstowa pomoc psychologiczna? W niepewnych czasach możesz mieć przy sobie psychologaSoczyste uderzenie Anaszewicza chyba spodobało się jego dziewczynie. Sylwia Spurek bowiem polubiła wpis swojego chłopaka na Twitterze. No i znowu mamy polską awanturę na całą Europę! Rozwijamy nasz serwis dzięki wyświetlaniu reklam.Blokując reklamy^ nie pozwalasz nam tworzyć wartościowych treści. Wyłącz AdBlock i odśwież stronę. Żaden utwór zamieszczony w serwisie nie może być powielany i rozpowszechniany lub dalej rozpowszechniany w jakikolwiek sposób (w tym także elektroniczny lub mechaniczny) na jakimkolwiek polu eksploatacji w jakiejkolwiek formie^ włącznie z umieszczaniem w Internecie bez pisemnej zgody właściciela praw. Jakiekolwiek użycie lub wykorzystanie utworów w całości lub w części z naruszeniem prawa^ tzn. bez właściwej zgody^ jest zabronione pod groźbą kary i może być ścigane prawnie.,http://www.se.pl/wiadomosci/polityka/donald-tusk-sylwia-spurek-lgbt-aa-Pzdo-hHHg-TjjU.html,2020-12-14,2020-12-14
Przemysław Czarnek jest kimś zupełnie innym! Minister przyparty do muru musiał to wyznać. Szok!,Przemysław Czarnek odkąd został ministrem edukacji i nauki^ z marszu stał się nie tylko jednym z najpopularniejszych ministrów w rządzie PiS^ lecz także jednym z najbardziej kontrowersyjnych. Powszechnie Czarnek uchodzi za radykała^ który nie uznaje innych niż skrajnie prawicowe poglądy. Tymczasem ze słów ministra wynika^ że jest kimś zupełnie innym niż Czarnkiem przedstawianym przez media. Jaka jest prawda o Przemysławie Czarnku? Minister przyparty do muru musiał to wyznać! Przemysław Czarnek to jeden z największych wrogów dla środowiska LGBT. Ostatnie słowo^ jakie działaczom LGBT kojarzy się z ministrem edukacji i nauki^ jest "tolerancja". Dziwić zatem musi to^ co Czarnek powiedział w rozmowie z "Kurierem Lubelskim". Dla wielu osób będzie ton prawdziwy szok! - Jestem do bólu tolerancyjny. Mogę o tym rozmawiać. Chrześcijaństwo nakazuje mądrą miłość każdego bliźniego^ a tolerancję właśnie stawia na najwyższych szczeblach hierarchii pożądanych zachowań - wypalił minister. To jednak nie wszystko! Przemysław Czarnek odniósł się też do zapowiadanych zmian w szkole. Wygląda na to^ że minister nieco zmiękł. - Media próbują ze mnie zrobić rewolucjonistę^ a ja jestem wolnościowcem i żadnych radykalnych zmian w szkole nie będzie - zapowiedział. Czy jest zatem szansa na to^ że łagodny Czarnek poprze na przykład małżeństwa osób LGBT? Na to liczyć raczej nie można. CZYTAJ TAKŻE: To już nie przelewki! Wałęsa pokazał groźby do Morawieckiego. "Tylko spróbuj^ draniu". Robi się niebezpiecznie...ZOBACZ TEŻ: Przemysław Czarnek przytula młodego blondyna. Zdjęcie mówi wszystko! Kto by się spodziewał?!Rozwijamy nasz serwis dzięki wyświetlaniu reklam.Blokując reklamy^ nie pozwalasz nam tworzyć wartościowych treści. Wyłącz AdBlock i odśwież stronę. - Nikt nikomu w Polsce nie zabrania tworzenia wspólnot innych niż związek małżeński i innych niż kobiety i mężczyzny. Nie ma zakazu mieszkania razem dwóch^ czy większej liczby kobiet czy dwóch^ albo nawet większej liczby mężczyzn^ którzy chcą siebie nazywać rodziną. Mogą po sobie dziedziczyć^ odwiedzać się w szpitalu. Jednak pod ochroną prawną Konstytucji RP jest tylko rodzina i małżeństwo jako związek kobiety i mężczyzny. Jeśli chcemy to zmienić^ wymaga to rewizji Konstytucji. Ale byłoby też to działanie aspołeczne^ sprzeczne z interesem naszego społeczeństwa^ zwłaszcza jego młodych i przyszłych pokoleń. To tym pokoleniom jesteśmy winni solidarność^ poprzez nasze odpowiedzialne decyzje - podkreślił Przemysław Czarnek. Jak Wam się podoba łagodny wizerunek ministra edukacji i nauki? Dajcie znać w komentarzu.  Żaden utwór zamieszczony w serwisie nie może być powielany i rozpowszechniany lub dalej rozpowszechniany w jakikolwiek sposób (w tym także elektroniczny lub mechaniczny) na jakimkolwiek polu eksploatacji w jakiejkolwiek formie^ włącznie z umieszczaniem w Internecie bez pisemnej zgody właściciela praw. Jakiekolwiek użycie lub wykorzystanie utworów w całości lub w części z naruszeniem prawa^ tzn. bez właściwej zgody^ jest zabronione pod groźbą kary i może być ścigane prawnie.,http://www.se.pl/wiadomosci/polityka/przemyslaw-czarnek-jest-kims-zupelnie-innym-minister-przyparty-do-muru-musial-to-wyznac-szok-aa-4kCv-EkN9-m3kg.html,2020-12-07,2020-12-07
Papież JEDNOZNACZNIE o gejach i lesbijkach. Wierzący będą w SZOKU!,Po raz kolejny Papież Franciszek wypowiedział się w sprawie par homoseksualnych. Tym razem wymowne słowa padły ze słów Papieża w filmie dokumentalnym poświęconym roli homoseksualistów w kościele. Kolejny raz papież Franciszek wypowiada się na temat osób homoseksualnych i udziela im wsparcia. Już w 2018 r. Franciszek przyjął na audiencje molestowanego seksualnie mężczyznę Juana Carlosa Cruza. Dopuścił się tego jeden z chilijskich księży. Papież przyjął mężczyznę tymi słowami. -Bóg stworzył cię gejem i takiego cię kocha. Twoja seksualność nie ma dla niego znaczenia - takie słowa usłyszał homoseksualista od papieża.Warszawa. Wraca zdalna nauka w szkołach podstawowych?Teraz Evgeny Afineevsky - filmowiec^ zapytał papieża o rolę katolików LGBT w kościele. - Homoseksualiści mają prawo być częścią rodziny. Są dziećmi Bożymi i mają prawo do rodziny. Nikt nie powinien być z tego powodu odtrącany i upokarzany. Pary homoseksualne zasługują na prawną ochronę dla swoich związków - odpowiedział papież Franciszek. Papież zachęcał katolików^ by skupili się na człowieczeństwie osób LGBT^ bo kim jesteśmy żeby sądzić?Polecany artykuł:Żaden utwór zamieszczony w serwisie nie może być powielany i rozpowszechniany lub dalej rozpowszechniany w jakikolwiek sposób (w tym także elektroniczny lub mechaniczny) na jakimkolwiek polu eksploatacji w jakiejkolwiek formie^ włącznie z umieszczaniem w Internecie bez pisemnej zgody właściciela praw. Jakiekolwiek użycie lub wykorzystanie utworów w całości lub w części z naruszeniem prawa^ tzn. bez właściwej zgody^ jest zabronione pod groźbą kary i może być ścigane prawnie.,http://www.se.pl/wiadomosci/swiat/papiez-jednoznacznie-o-gejach-i-lesbijkach-wierzacy-beda-w-szoku-aa-nWy5-75fv-Fisa.html,2020-10-21,2020-10-21
HOMOWPADKA Czarnka! Wywlekli mu to akurat teraz... KOMPROMITUJĄCE?,Oj^ chyba nie tak wyobrażał sobie początek pracy w Ministerstwie Edukacji i Nauki Przemysław Czarnek. Były wojewoda lubelski zaczął od mocnego akcentu^ odwołując odpowiedzialną za treści w podręcznikach i podstawy programowe dyrektor Alinę Sarcecką. Przeciwnicy Czarnka jednak nie śpią i wywlekli mu coś^ co wielu uzna za kompromitujące. Chodzi o wypowiedź szefa resortu edukacji i nauki o... małżeństwach zwierząt. Homowpadka Przemysława Czarnka została przypomniana akurat teraz^ gdy stał się członkiem rządu. Jeden z internautów postanowił przytoczyć słowa Czarnka o małżeństwach jednopłciowych. Kontrowersyjny polityk podczas jednego z wykładów wypalił bowiem^ że: "coś takiego w przyrodzie w ogóle nie występuje". "Prostuję: w przyrodzie w ogóle nie występują małżeństwa^ a homoseksualny seks można zaobserwować nawet wśród psów i kotów" - tak do tych słów odniósł się jeden z użytkowników Twittera. Drwinom z ministra nie było końca. "Ale może choć śluby kościelne występują w przyrodzie?"^ "Idąc tokiem myślenia Czarnka^ małżeństwa są nienaturalne^ bo w przyrodzie nie występują" - kpili internauci. Co ciekawe^ jedna z użytkowniczek Twittera zdradziła^ że jej pies był... gejem. Podobnie zresztą jak kot autora wpisu.ZOBACZ TAKŻE: Potworna perspektywa Beaty Szydło! WSYPIE kolegów^ by UNIKNĄĆ KARY?Rozwijamy nasz serwis dzięki wyświetlaniu reklam.Blokując reklamy^ nie pozwalasz nam tworzyć wartościowych treści. Wyłącz AdBlock i odśwież stronę. Żaden utwór zamieszczony w serwisie nie może być powielany i rozpowszechniany lub dalej rozpowszechniany w jakikolwiek sposób (w tym także elektroniczny lub mechaniczny) na jakimkolwiek polu eksploatacji w jakiejkolwiek formie^ włącznie z umieszczaniem w Internecie bez pisemnej zgody właściciela praw. Jakiekolwiek użycie lub wykorzystanie utworów w całości lub w części z naruszeniem prawa^ tzn. bez właściwej zgody^ jest zabronione pod groźbą kary i może być ścigane prawnie.,http://www.se.pl/wiadomosci/polityka/homowpadka-czarnka-wywlekli-mu-to-akurat-teraz-kompromitujace-aa-v4VR-2m1i-d3JP.html,2020-10-20,2020-10-20
Czarnek ma PROBLEM! Znany profesor wytoczył najcięższe działa. Będzie proces!,Jeszcze nie rozpoczął swojego urzędowania jako nowy minister edukacji^ a już ma duży problem. Przemysław Czarnek został właśnie pozwany w warszawskim sądzie okręgowym przez pełnomocników prof. Uniwersytetu Warszawskiego Jakuba Urbanika. Jeśli polityk PiS przegra sprawę^ jego konto może uszczuplić się o 20 tysięcy złotych. A wszystko to przez wypowiedzi Czarnka o LGBT...- Prof. Uniwersytetu Warszawskiego Jakub Urbanik^ jako osoba nieheteronormatywna uznał^ że wypowiedzi pana Czarnka naruszają jego dobra osobiste. W związku tym dzisiaj składamy pozew o ochronę dóbr osobistych i żądamy przeprosin opublikowanych w mediach m.in. w TVN^ TVP^ dziennikach ogólnopolskich i wpłaty 20 tys. zł zadośćuczynienia na Stowarzyszenie "Miłość Nie Wyklucza - powiedziała pełnomocniczka powoda mec. Sylwia Gregorczyk-Abram.Jak przekazał inny pełnomocnik wykładowcy mec. Michał Wawrykiewicz^ chodzi o wypowiedź z czerwca br. w TVP Info^ w której polityk PiS mówiąc o mniejszościach seksualnych powiedział: - Skończmy słuchać tych idiotyzmów o jakichś prawach człowieka czy jakiejś równości. Ci ludzie nie są równi ludziom normalnym i skończmy wreszcie z tą dyskusją. Prawnik dodał^ że pozew dotyczy także wypowiedzi Czarnka dla Radia Maryja z sierpnia br. - Nie ma wątpliwości^ że cała ta ideologia LGBT wyrastająca z neomarksizmu pochodzi z tego samego korzenia co niemiecki narodowy socjalizm hitlerowski^ który jest odpowiedzialny za wszelkie zło II wojny światowej^ zniszczenie Warszawy i zamordowanie powstańców. Korzeń jest ten sam – mówił wtedy Czarnek.Pełnomocnik wyjaśnił^ że pozew ten "ma postawić tamę homofobicznym zachowaniom i powiedzieć^ że w przestrzeni publicznej nie ma miejsca na tego typu zachowania^ ponieważ grozi to wzrostem agresji i nienawiści".Komentując złożony pozew w rozmowie z portalem wPolityce.pl^ Czarnek oznajmił: – Nie znam^ nigdy nie widziałem i nigdy nie miałem przyjemności poznać pana Urbanika^ więc nie bardzo rozumiem^ o co mu chodzi (...) Nie interesuje mnie orientacja seksualna. Nie wiem^ dlaczego miałaby interesować wszystkich Polaków – dodał.Odnosząc się do zarzutów^ Czarnek powiedział^ że nie może już tego słuchać. – Sto razy wyjaśniałem^ o co mi chodziło w TVP Info^ więc nie ma sensu tego wyjaśniać po raz sto pierwszy. Jeżeli ktoś dalej nie rozumie^ to jest jego sprawa – podkreślił.Źródło: PAPPolecany artykuł:Rozwijamy nasz serwis dzięki wyświetlaniu reklam.Blokując reklamy^ nie pozwalasz nam tworzyć wartościowych treści. Wyłącz AdBlock i odśwież stronę. Żaden utwór zamieszczony w serwisie nie może być powielany i rozpowszechniany lub dalej rozpowszechniany w jakikolwiek sposób (w tym także elektroniczny lub mechaniczny) na jakimkolwiek polu eksploatacji w jakiejkolwiek formie^ włącznie z umieszczaniem w Internecie bez pisemnej zgody właściciela praw. Jakiekolwiek użycie lub wykorzystanie utworów w całości lub w części z naruszeniem prawa^ tzn. bez właściwej zgody^ jest zabronione pod groźbą kary i może być ścigane prawnie.,http://www.se.pl/wiadomosci/polityka/czarnek-ma-problem-znany-profesor-wytoczyl-najciezsze-dziala-bedzie-proces-aa-jjvd-7qwQ-yAjK.html,2020-10-16,2020-10-16
Piontkowski o LGBT w szkole. A co z pandemią?!,Koronawirus szaleje w Polsce. Eksperci i naukowcy coraz głośniej mówią o potrzebie zamykania szkół. A tymczasem w poniedziałek zabrał głos minister edukacji^ Dariusz Piontkowski. Ale wbrew oczekiwaniom nie mówił o tym^ jak przygotowany jest do drugiej fali epidemii system edukacji^ a o... LGBT.Piontkowski był w środę gościem Radia Gdańsk^ gdzie mówił o resorcie^ którym nadal kieruje i jego pracach.- Większość Polaków to chrześcijanie^ katolicy i chcą^ aby ich dziecko w szkole było bezpieczne nie tylko pod względem fizycznym^ ale także ideowym i światopoglądowym - mówił minister. I dalej przekonywał^ że nie ma jego zgody na "homoseksualną propagandę" w szkołach.- Nie ma mojej zgody – ale z tego^ co publicznie mówił profesor Przemysław Czarnek także i jego zgody na to – aby lewicowe organizacje stosowały po prostu propagandę homoseksualną związaną ze środowiskami LGBT - zapowiedział szef MEN. Odniósł się także do swojego następcy^ który wciąż nie został powołany do składu rządu. Czarnek nie został powołany^ ponieważ miał koronawirusa.- Pan profesor Czarnek używa dosyć barwnego języka^ wyraźnie precyzuje swoje poglądy i to powoduje^ że politycy lewicowi są bardzo niechętnie nastawieni wobec jego osoby. Natomiast jego postawa nie różni się tak naprawdę od postawy mojej czy pozostałej części kierownictwa ministerstwa edukacji narodowej - twierdził Piontkowski. Dodał^ że nie widzi potrzeby zamykania wszystkich szkół.- Bezpośredni kontakt nauczyciela z uczniem jest nie do zastąpienia i stąd dopóki jest to możliwe^ uważam^ że należy unikać odgórnego zamykania szkół w skali całego państwa^ a raczej pozostawiać możliwość reagowania tam^ gdzie jest realne zagrożenie epidemiczne - stwierdził minister edukacji.Rozwijamy nasz serwis dzięki wyświetlaniu reklam.Blokując reklamy^ nie pozwalasz nam tworzyć wartościowych treści. Wyłącz AdBlock i odśwież stronę. Żaden utwór zamieszczony w serwisie nie może być powielany i rozpowszechniany lub dalej rozpowszechniany w jakikolwiek sposób (w tym także elektroniczny lub mechaniczny) na jakimkolwiek polu eksploatacji w jakiejkolwiek formie^ włącznie z umieszczaniem w Internecie bez pisemnej zgody właściciela praw. Jakiekolwiek użycie lub wykorzystanie utworów w całości lub w części z naruszeniem prawa^ tzn. bez właściwej zgody^ jest zabronione pod groźbą kary i może być ścigane prawnie.,http://www.se.pl/wiadomosci/polityka/piontkowski-o-lgbt-w-szkole-a-co-z-pandemia-aa-zzzs-qnaJ-FP23.html,2020-10-14,2020-10-14
Szczecin: ZBEZCZESZCZONY kościół! "Macie KREW na rękach!" Radny oskarża LGBT! [ZDJĘCIA],Na tablicy parafialnej jednego ze szczecińskich kościołów pojawił się napis "soli LGBT"^ a na ścianie plamy od farby czerwonej^ pomarańczowej^ żółtej^ zielonej^ niebieskiej i fioletowej. Wydarzenie poruszyło księdza proboszcza^ który mówi o bólu i radnego Dariusza Mateckiego^ który na Twitterze poinformował^ że kościół ma już wsparcie prawników."Soli LGBT" to napis^ który z łacińskiego można tłumaczyć jako "tylko LGBT". Ten napis zobaczymy na tablicy parafialnej w Kościele Świętego Krzyża na szczecińskim Pogodnie. Obok niego^ na elewacji kościoła pojawiło się kilka plam w różnych kolorach i hasło "Macie krew na rękach". - To wyraz tolerancji? - retorycznie pyta w rozmowie z Radiem Szczecin proboszcz parafii ks. Piotr Kordula.Duchowny odkrył ślady w piątkowy poranek. - To jest smutne i bardzo bolesne. Jesteśmy zbulwersowani^ będziemy się za tych ludzi modlić. Apeluję do tych osób^ które dokonały tego aktu wandalizmu^ aby też zaczęły tolerować katolików - czytamy słowa księdza.W sprawę angażuje się także radny z PiS Dariusz Matecki^ który na Twitterze pisze^ że "środowiska LGBT zbeszcześciły kościoł". Samorządowiec dodał^ że sprawą zajmują się prawnicy z Fidei Defensor^ czyli organizacji^ która zajmuje się pomocą prawną osobom^ które są prześladowane ze względu na "wyznawaną religię katolicką".Zgłoszenie otrzymała także szczecińska policja. W rozmowie z Polską Agencją Prasową sierżant sztabowy Paweł Pankau przyznał^ że mundurowi prowadzą czynności i ocenią^ czy doszło do popełnienia przestępstwa. Policjanci zabezpieczyli już ślady i ustalają świadków zdarzenia.Polecany artykuł:Rozwijamy nasz serwis dzięki wyświetlaniu reklam.Blokując reklamy^ nie pozwalasz nam tworzyć wartościowych treści. Wyłącz AdBlock i odśwież stronę. Żaden utwór zamieszczony w serwisie nie może być powielany i rozpowszechniany lub dalej rozpowszechniany w jakikolwiek sposób (w tym także elektroniczny lub mechaniczny) na jakimkolwiek polu eksploatacji w jakiejkolwiek formie^ włącznie z umieszczaniem w Internecie bez pisemnej zgody właściciela praw. Jakiekolwiek użycie lub wykorzystanie utworów w całości lub w części z naruszeniem prawa^ tzn. bez właściwej zgody^ jest zabronione pod groźbą kary i może być ścigane prawnie.,http://szczecin.se.pl/szczecin-zbeszczeszczony-kosciol-macie-krew-na-rekach-radny-oskarza-lgbt-zdjecia-aa-2ord-B9To-YdRB.html,2020-10-09,2020-10-09
Wyciekło^ jaką ksywę Czarnek ma w PiS. Kręcą z niego BEKĘ^ potworna ZNIEWAGA,Przemysław Czarnek nagle stał się jednym z najpopularniejszych polityków w Polsce. Przyszły minister edukacji narodowej i szkolnictwa wyższego na swoją markę zapracował przede wszystkim szokującymi skandalicznymi wypowiedziami na temat LGBT^ karania dzieci czy roli kobiet we współczesnym świecie. Mimo tego dostał awans^ za którym ponoć stoi sam Jarosław Kaczyński. To jednak nie przeszkadza politykom PiS kręcić beki z Czarnka. Nowy minister "dorobił się " nawet specjalnej ksywy... Właśnie wyciekła kłopotliwa dla niego informacja. Odkąd Mateusz Morawiecki podał^ że to Przemysław Czarnek przejmie resort edukacji^ zawrzało w całym kraju. W internecie krążą najbardziej osobliwe cytaty Czarnka. Niektóre brzmią zupełnie nie jak ze współczesnego świata (ZOBACZ PRZYKŁADY SZOKUJĄCYCH CYTATÓW PRZEMYSŁAWA CZARNKA). Ostatnio pisaliśmy o tym^ jak były wojewoda lubelski został publicznie poniżony przez seksbombę SLD (CZYTAJ O TYM TUTAJ). Okazuje się jednak^ że Przemysław Czarnek ma także przeciwników w PiS. Część posłów partii rządzącej patrzy na niego jak na kogoś z kosmos i kręci z niego bekę. Jak donosi sejmowa dziennikarka "Gazety Wyborczej" Justyna Dobrosz-Oracz^ przyszły minister zapracował sobie na ksywę^ która na prawicy jest prawdziwą zniewagą. Czarnek bowiem nazywany jest... "Palikotem dobrej zmiany". Nie trzeba chyba nikomu mówić^ że Janusz Palikot w PiS to symbol najgorszego "lewaka" - postać absolutnie znienawidzona i za swoje poglądy^ i za sposób ich wyrażania. ZOBACZ TAKŻE: Zgoda w PiS to BAJKA! Totalna wojna u Kaczyńskiego. PRZEDTERMINOWE WYBORY 2020Rozwijamy nasz serwis dzięki wyświetlaniu reklam.Blokując reklamy^ nie pozwalasz nam tworzyć wartościowych treści. Wyłącz AdBlock i odśwież stronę. Żaden utwór zamieszczony w serwisie nie może być powielany i rozpowszechniany lub dalej rozpowszechniany w jakikolwiek sposób (w tym także elektroniczny lub mechaniczny) na jakimkolwiek polu eksploatacji w jakiejkolwiek formie^ włącznie z umieszczaniem w Internecie bez pisemnej zgody właściciela praw. Jakiekolwiek użycie lub wykorzystanie utworów w całości lub w części z naruszeniem prawa^ tzn. bez właściwej zgody^ jest zabronione pod groźbą kary i może być ścigane prawnie.,http://www.se.pl/wiadomosci/polityka/wycieklo-jaka-ksywe-czarnek-ma-w-pis-kreca-z-niego-beke-potworna-zniewaga-aa-aNc8-HrZD-SZQC.html,2020-10-04,2020-10-04
Słynny polski pisarz o OBCIĘCIU PENISA! Aż ciarki przechodzą po plecach,Jego książki biją rekordy popularności^ a on jest ubóstwiany przez czytelników. Zdobyta prestiżowe nagrody literackie nie tylko w Polsce^ Od czasu do czasu Szczepan Twardoch zabiera też głos w sprawach związanych z polityką. Pisarz się nie patyczkuje i wali prosto z mostu. Teraz zdecydował się zabrać głos w sprawie wolny na linii prawica - LGBT. Padły tam szokujące słowa o obcięciu penisa. O co chodzi Twardochowi? Szczepan Twardoch nie wytrzymał i postanowił wbić kij w mrowisko^ nie oglądając się na reakcję fanów. - Premierowi^ który w klasycznym polskim stylu żali się^ że "LGBT szkaluje Polskę"^ a Bart Staszewski rzekomo produkuje fejkowe newsy na temat "stref wolnych od LGBT"^ chciałbym przypomnieć^ że to nie środowiska LGBT rozpoczęły tę wojnę^ mimo^ że sytuacja prawna osób LGBT w Polsce jest najgorsza w całej Europie*. Polskie środowiska LGBT są i tak ciągle wyjątkowo dla polskiego państwa wyrozumiałe^ moim zdaniem - stwierdził bez ogródek. Dalsza część wpis pisarza brzmi szokująco. W wulgarny i makabryczny sposób Twardoch skomentował działania samorządów. - Więc nie^ to nie oni zaczęli. Tę samobójczą wojnę zaczęło paru cynicznych spindoktorów wraz z paroma głupcami z samorządów^ którym się wydaje^ że zara przyjdzie zły gender i chłop będzie musiał se ku**sa uciąć - ocenił. Aż ciarki przechodzą po plecach na samą myśl o takim zabiegu..CZYTAJ TAKŻE: Czarnek się DOIGRAŁ! Seksbomba publicznie go PONIŻYŁA. Uderzenie w CZUŁY PUNKT- Głupcom można wybaczyć^ głupcom można cierpliwie i z empatią tłumaczyć^ ale nie można wybaczyć cynicznym spindoktorom^ sięgającym po takie środki^ bo taka jest ich wizja polityki i taka opinia na temat polskiego społeczeństwa^ które - według nich - zmobilizować można^ odwołując się wyłącznie do emocji najniższych - przekonywał Szczepan Twardoch^ który nie oszczędził przyszłego minsitra edukacji i szkolnictwa wyższego Przemysława Czarnka. - Bzdury Czarnka^ homofobiczna kampania wyborcza i strefy wolne od "ideologii LGBT" lokują się gdzieś na spektrum^ rozciągającym się między demokratyczno-liberalną normą a obozami koncentracyjnymi^ w których ludzie Kadyrowa gejów torturują i mordują" - skonstatował słynny pisarz.Rozwijamy nasz serwis dzięki wyświetlaniu reklam.Blokując reklamy^ nie pozwalasz nam tworzyć wartościowych treści. Wyłącz AdBlock i odśwież stronę. Żaden utwór zamieszczony w serwisie nie może być powielany i rozpowszechniany lub dalej rozpowszechniany w jakikolwiek sposób (w tym także elektroniczny lub mechaniczny) na jakimkolwiek polu eksploatacji w jakiejkolwiek formie^ włącznie z umieszczaniem w Internecie bez pisemnej zgody właściciela praw. Jakiekolwiek użycie lub wykorzystanie utworów w całości lub w części z naruszeniem prawa^ tzn. bez właściwej zgody^ jest zabronione pod groźbą kary i może być ścigane prawnie.,http://www.se.pl/wiadomosci/polityka/slynny-polski-pisarz-o-obcieciu-penisa-az-ciarki-przechodza-po-plecach-aa-5T9T-SeJ1-KcP3.html,2020-10-03,2020-10-03
Warszawa: Brutalny atak w stolicy. AKTYWISTA LGBT wepchnięty pod tramwaj! ,Dramat rozegrał się w czwartek. Aktywista LGBT o pseudonimie "Lu" został zaatakowany na ulicy. Napastnik rozpoznał go i wepchnął wprost pod nadjeżdżający tramwaj. - Ktoś mnie dzisiaj wepchnął pod tramwaj. Nic nie pamiętam - przekazał Lu w mediach społecznościowych. Napastnik rozpoznał go i zdecydował się zaatakować. Wiedział^ że aktywista wspiera ruch LGBT. Dzięki szybkiej reakcji motorniczego aktywista wyszedł ze zdarzania bez szwanku.  - Strasznie się boję poruszać^ cokolwiek robić - tłumaczy poszkodowany^ który nie ujawnia więcej szczegółów zdarzenia.  Dostała nowe życie^ które zaraz może stracić. Jej historia CHWYTA za serceŚrodowisko LGBT potraktowało to zdarzenie jako zamach na życie jednego z aktywistów. - Potwierdzona próba zabicia jednej z naszych osób. Ile jeszcze musi się zdarzyć^ żeby pobazgrane mury i wulgaryzmy były usprawiedliwione przez „sojuszników”? Jesteśmy bez przerwy wyzywane^ szarpane^ atakowane. - czytamy na profilu STOP BZDUROM. TO NIEWIARYGODNE! Kto ukradł uliczne latarnie? [GALERIA]Polecany artykuł:Żaden utwór zamieszczony w serwisie nie może być powielany i rozpowszechniany lub dalej rozpowszechniany w jakikolwiek sposób (w tym także elektroniczny lub mechaniczny) na jakimkolwiek polu eksploatacji w jakiejkolwiek formie^ włącznie z umieszczaniem w Internecie bez pisemnej zgody właściciela praw. Jakiekolwiek użycie lub wykorzystanie utworów w całości lub w części z naruszeniem prawa^ tzn. bez właściwej zgody^ jest zabronione pod groźbą kary i może być ścigane prawnie.,http://www.se.pl/warszawa/warszawa-brutalny-atak-w-stolicy-aktywista-lgbt-wepchniety-pod-tramwaj-aa-yfEH-pq9j-HaRx.html,2020-10-02,2020-10-02
